Word		Variant	CELEX Lemma Frequency divided among homographs	Possible reasons to exclude	
a	eɪ	2	633517.5		
aback	əbæk	1	59		
abacus	æbəkəs	1	8		
abandon	əbændən	1	1010		
abandoned	əbændənd	1	25	inflected	
abandonment	əbændənmənt	1	94	productive affix	
abash	əbæʃ	1	15		
abate	əbeɪt	1	42		
abatement	əbeɪtmənt	1	13	productive affix	
abbe	æbi	1	7		
abbe	æbeɪ	2	7		
abbey	æbi	1	181		
abbot	æbət	1	43		
abbreviate	əbɹivieɪt	1	35		
abbreviation	əbɹivieɪʃən	1	14		
abdicate	æbdəkeɪt	1	40		
abdication	æbdɪkeɪʃən	1	34		
abdomen	æbdəmən	2	57		
abdomen	æbdoʊmən	1	57		
abdominal	əbdɑmənəl	2	63		
abdominal	æbdɑmənəl	1	63		
abduct	æbdʌkt	1	19		
abduction	əbdʌkʃən	2	5.5		
abduction	æbdʌkʃən	1	5.5		
abed	əbɛd	1	4		
aberrant	æbɛɹənt	1	11		
aberration	æbəɹeɪʃən	1	50		
abet	əbɛt	1	33		
abeyance	əbeɪəns	1	17		
abhor	æbhɔɹ	1	39		
abhorrence	əbhɔɹəns	1	7		
abhorrent	æbhɔɹənt	1	23		
abide	əbaɪd	1	84		
abiding	əbaɪdɪŋ	1	37	inflected	
ability	əbɪləti	1	1557		
abject	æbdʒɛkt	1	57		
ablaze	əbleɪz	1	29		
able	eɪbəl	1	5887		
able-bodied	eɪbəlbɑdi	1	15	compound	
ably	eɪbli	1	65	adverb in -ly	
abnormal	æbnɔɹməl	1	105		
abnormality	æbnɔɹmæləti	1	39		
abnormally	æbnɔɹməli	1	28	adverb in -ly	
abo	ɑboʊ	1	6		
aboard	əbɔɹd	1	285		
abode	əboʊd	1	31		
abolish	əbɑlɪʃ	1	301		
abolition	æbəlɪʃən	1	139		
abolitionist	æbəlɪʃənəst	1	22		
abominable	əbɑmənəbəl	1	43		
abomination	əbɑməneɪʃən	1	24		
aboriginal	æbəɹɪdʒənəl	1	123		
aborigine	æbəɹɪdʒəni	1	67		
abort	əbɔɹt	1	35		
abortion	əbɔɹʃən	1	351		
abortionist	əbɔɹʃənɪst	1	18		
abortive	əbɔɹtɪv	1	59		
abound	əbaʊnd	1	84		
about	əbaʊt	1	44684		
above	əbʌv	1	4020		
aboveboard	əbʌvbɔɹd	1	2	compound	
abracadabra	æbɹəkədæbɹə	1	2		
abrasion	əbɹeɪʒən	1	9		
abrasive	əbɹeɪsɪv	1	50		
abreast	əbɹɛst	1	38		
abridge	əbɹɪdʒ	1	15		
abroad	əbɹɔd	1	778		
abrogate	æbɹəɡeɪt	1	12		
abrogation	æbɹəɡeɪʃən	1	4		
abrupt	əbɹʌpt	1	117		
abruptly	əbɹʌptli	1	316	adverb in -ly	
abruptness	əbɹʌptnəs	1	13	productive affix	
abscess	æbsɛs	1	21		
abscond	æbskɑnd	1	5		
absence	æbsəns	1	741		
absent	æbsənt	1	258		
absentee	æbsənti	1	31	productive affix	
absenteeism	æbsəntiɪzəm	1	24		
absolute	æbsəlut	1	755		
absolutely	æbsəlutli	1	1487	adverb in -ly	
absoluteness	æbsəlutnəs	1	7	productive affix	
absolution	æbsəluʃən	1	9		
absolutism	æbsəlutɪzəm	1	7		
absolve	əbzɑlv	1	17.5		
absolve	æbzɑlv	2	17.5		
absorb	əbzɔɹb	1	679		
absorbent	əbzɔɹbənt	1	16		
absorbing	əbzɔɹbɪŋ	1	24	inflected	
absorption	əbzɔɹpʃən	1	36		
absorption	əbsɔɹpʃən	2	36		
abstain	əbsteɪn	1	32.5		
abstain	æbsteɪn	2	32.5		
abstention	əbstɛntʃən	1	10.5		
abstention	æbstɛntʃən	2	10.5		
abstinence	æbstənəns	1	38		
abstract	æbstɹækt	2	233.5		
abstract	æbstɹækt	1	233.5		
abstracted	æbstɹæktɪd	1	23		
abstraction	æbstɹækʃən	1	121		
abstruse	əbstɹus	1	9		
absurd	əbsʌɹd	1	450		
